pred,actual,var
34.536945,59.7,1.9978567
99.6672,80.0,1.456091
32.934986,90.0,2.153575
17.93716,96.0,3.6135778
61.389412,86.0,2.0599074
65.46199,105.0,2.9033809
111.536255,110.0,2.6189618
23.519075,18.2,2.8391302
89.48027,81.0,0.9955586
32.604618,8.6,3.8552709
86.74885,99.0,5.25717
47.94986,111.0,1.5748013
50.36212,38.0,3.1373277
56.379932,19.9,4.4904523
63.588146,14.0,4.1576033
68.47532,101.7,3.644989
9.762144,33.0,1.4000467
31.63985,65.5,1.8787308
54.745556,23.6,2.7709556
55.513653,11.9,3.4284942
33.104084,28.1,2.076785
46.63439,45.5,1.9614141
67.41368,17.0,3.6879342
14.507388,51.0,2.0067914
16.194935,26.0,1.5378509
43.878937,35.0,2.892639
20.817562,56.6,1.9333493
98.369576,100.0,2.5311458
18.96106,74.2,1.8811362
14.708923,80.9,1.3324603
33.069096,10.4,3.8680992
25.280394,21.0,1.8716677
56.22508,27.0,3.4273121
8.499836,24.9,1.5624907
16.121132,8.0,2.251511
67.32863,72.0,3.2459407
71.524796,6.0,4.397703
-1.1532257,104.0,1.6763681
36.14588,20.0,2.2571077
58.68537,41.0,3.454296
23.676542,35.8,2.680971
70.35733,52.0,2.70728
10.386526,47.8,1.2346143
36.16074,15.6,2.3430908
73.95598,24.0,3.1602178
28.750134,30.5,3.599267
108.01727,74.0,2.9817371
80.95034,37.0,2.56495
51.42809,51.7,2.7962284
80.40303,14.4,4.1231995
41.438896,77.0,3.6785612
61.5425,28.2,3.10043
28.740253,37.5,3.147463
18.501694,30.5,1.3557409
74.925224,85.0,3.3348496
64.257095,46.6,3.1405566
60.146812,41.0,4.4063025
63.05782,39.0,2.7760553
31.636387,70.0,3.0106745
36.473457,74.0,1.4442849
55.013023,54.0,1.8931487
48.5772,29.0,2.7207732
26.39748,42.0,2.6048262
58.206932,58.6,2.224177
59.852966,18.0,3.6564424
31.325207,19.6,2.007523
16.643885,40.0,1.4251868
44.721344,3.0,3.4679453
101.25084,10.2,3.0469553
42.258442,83.0,4.6983995
16.534573,7.4,1.9154024
55.11741,24.0,3.1098144
11.451498,80.5,1.2813151
85.46589,71.0,1.687068
51.606464,134.0,1.645264
33.309128,28.0,2.7249124
20.674534,15.0,4.71703
29.22915,13.1,2.5178912
27.130264,43.0,1.9288112
35.212776,49.0,2.5299006
47.19169,51.0,3.6356368
46.657093,19.1,3.0082445
20.913626,24.0,2.5892031
86.45847,99.8,3.1308558
1.264023,4.0,1.1119643
40.490623,36.1,2.321074
40.42431,19.5,2.6934671
