pred,actual,var
95.04032,86.0,0.43248758
84.4107,77.0,0.99323493
115.676285,110.0,1.2137817
62.62853,67.0,3.8228536
5.339139,9.0,0.88904905
6.813208,11.5,0.9001847
24.948858,27.8,0.5244396
57.53835,41.1,2.3580875
68.23985,89.0,1.5220122
73.84958,67.0,1.012085
84.72573,75.8,0.77829486
78.23029,102.5,1.6462854
75.32521,68.0,0.62620217
13.748868,19.0,1.1898493
20.296335,21.0,0.8103129
19.278843,20.7,0.687938
16.979223,13.7,1.318202
40.431564,38.2,1.1844623
80.313934,102.0,0.57870203
57.129143,52.8,1.1435161
89.26959,83.0,1.0193877
89.94924,115.4,1.0100647
50.66383,51.0,1.1584847
42.944347,22.3,1.9923526
34.306263,48.0,1.7552204
68.46876,57.3,1.9158237
15.603063,12.9,1.205168
32.73304,37.4,1.3705676
22.41346,22.5,1.8123357
26.35854,32.0,2.2233799
43.523533,44.0,1.105226
43.886024,41.0,1.5308411
81.31029,100.0,2.2315264
9.629183,18.0,0.80527985
19.31393,18.6,0.7643931
16.216433,18.0,0.54975027
27.439045,25.8,0.8297707
76.6537,96.2,1.7185749
91.1715,100.0,0.86041325
140.9411,100.0,3.6999233
11.409361,17.0,0.90076745
17.586964,14.0,0.45663017
20.878344,22.0,1.1196368
16.782393,14.0,0.5745539
8.890367,14.4,1.4438996
29.585491,20.0,0.93505865
35.332787,42.0,0.8010547
22.429379,21.0,0.8094809
37.619957,39.6,0.6762872
31.68562,30.0,0.8123977
23.931446,28.0,1.2046814
16.654486,23.5,1.0563827
39.01083,32.0,0.55741847
44.81134,36.0,0.95275503
106.09808,106.0,0.6720154
17.49291,12.0,0.90438557
21.981731,34.1,1.4484076
8.91548,6.4,0.72425604
60.701935,47.0,2.350315
14.119642,13.3,1.0821755
8.435459,7.8,0.6906442
12.156081,10.9,1.9858876
34.05997,31.0,0.7715426
18.338633,5.0,1.3871552
54.979034,59.7,1.7001827
67.91075,80.0,0.9022886
86.8311,90.0,0.9944135
95.22566,96.0,0.85663635
91.70038,86.0,0.5966663
108.397934,105.0,1.1388156
106.57774,110.0,0.7504346
31.907099,18.2,1.7974626
76.078995,81.0,0.63642234
12.567957,8.6,1.1164138
84.265305,99.0,0.48582482
105.570335,111.0,1.7879591
26.864864,38.0,1.0871338
14.263621,19.9,1.2408229
25.15662,14.0,1.4638655
105.4797,101.7,2.027049
27.111917,33.0,1.0883081
67.910355,65.5,0.6233153
26.253454,23.6,0.6999997
17.489012,11.9,1.245709
40.33071,28.1,1.0206215
53.80003,45.5,1.674682
25.303988,17.0,1.3946458
43.403053,51.0,0.89180017
33.51275,26.0,1.1608524
37.917484,35.0,0.9683138
59.571003,56.6,1.3668658
85.05349,100.0,0.5036871
81.18639,74.2,1.0928103
69.85715,80.9,0.68005717
16.95513,10.4,1.9042451
23.919867,21.0,1.2982808
42.844196,27.0,0.9085363
20.094028,24.9,1.0589323
8.293656,8.0,1.4332669
60.91939,72.0,1.570854
21.697119,6.0,1.4039038
89.0266,104.0,0.81215847
20.671795,20.0,0.89026713
46.97092,41.0,0.7080005
38.560543,35.8,0.70486486
49.235897,52.0,1.1130859
58.65565,47.8,1.7407671
18.578968,15.6,1.1568635
39.618477,24.0,2.4057598
25.019184,30.5,0.7241243
105.13135,74.0,1.9477762
36.422432,37.0,0.9155654
43.753643,51.7,1.0001616
14.834696,14.4,0.96695125
59.689636,77.0,2.3833675
33.58545,28.2,0.8058208
50.28223,37.5,1.3498862
25.430882,30.5,0.5377965
76.21081,85.0,1.0473596
52.960003,46.6,1.2691026
33.54313,41.0,1.5652633
88.38121,39.0,1.8653117
107.481285,70.0,2.5521622
69.32639,74.0,1.0235977
73.60958,54.0,0.7303926
26.778885,29.0,0.9199607
31.000362,42.0,0.8768381
64.46135,58.6,1.0442979
20.244808,18.0,0.71949106
17.306017,19.6,0.8803954
49.9953,40.0,1.2149981
3.9768982,3.0,1.2432957
10.713015,10.2,0.63071865
67.593765,83.0,0.9291083
15.458422,7.4,1.5762119
37.487476,24.0,1.2977829
82.75406,80.5,0.5471261
61.03219,71.0,0.33242646
117.893456,134.0,1.3892604
23.247026,28.0,0.7445981
29.315893,15.0,2.4538157
14.256243,13.1,0.8123251
33.756634,43.0,0.913977
51.70295,49.0,1.0626762
47.600246,51.0,0.7277207
21.191612,19.1,1.682944
24.603424,24.0,1.2072834
80.07991,99.8,1.2449108
4.8621798,4.0,1.2548101
31.654186,36.1,1.3977509
24.195402,19.5,2.196998
66.55049,84.0,0.5364325
24.03153,17.2,0.8702238
55.428192,49.0,0.9999576
61.071667,61.0,0.9142153
31.834774,40.5,1.1763942
11.477934,12.0,0.7746711
33.462242,47.3,1.2182275
32.906258,44.4,0.9747174
32.620693,18.4,0.9629706
50.085197,40.0,0.8320074
11.786484,13.1,0.6738365
33.450996,44.0,0.50279355
24.226933,25.0,2.354745
21.796057,24.0,0.7676422
29.444815,37.0,0.5212747
6.298574,6.0,1.0348903
17.593092,18.1,1.3540461
40.649788,43.0,0.75695145
30.366007,24.4,1.1076883
26.974476,18.8,1.868631
